year,state,state_po,office,district,candidate,party_detailed,writein,candidatevotes,totalvotes,percentvotes
1976,NEBRASKA,NE,US SENATE,statewide,SCATTER,,FALSE,163,593310,0.00027473
1976,NEBRASKA,NE,US SENATE,statewide,JOHN Y. MCCOLLISTER,REPUBLICAN,FALSE,279284,593310,0.470721882
1976,NEBRASKA,NE,US SENATE,statewide,EDWARD ZORINSKY,DEMOCRAT,FALSE,313805,593310,0.528905631
1976,NEVADA,NV,US SENATE,statewide,BYRON D. YOUNG,INDEPENDENT AMERICAN,FALSE,3619,201899,0.017924804
1976,NEVADA,NV,US SENATE,statewide,DAVID TOWELL,REPUBLICAN,FALSE,63471,201899,0.314370056
1976,NEVADA,NV,US SENATE,statewide,OTHER,,FALSE,5288,201899,0.026191313
1976,NEVADA,NV,US SENATE,statewide,DAN BECAN,LIBERTARIAN,FALSE,2307,201899,0.011426505
1976,NEVADA,NV,US SENATE,statewide,HOWARD W. CANNON,DEMOCRAT,FALSE,127214,201899,0.630087321
1976,NEW JERSEY,NJ,US SENATE,statewide,LEIF JOHNSON,LABOR,FALSE,6650,2771390,0.002399518
1976,NEW JERSEY,NJ,US SENATE,statewide,HANNIBAL CUNDARI,LIBERTARIAN,FALSE,19907,2771390,0.007183038
1976,NEW JERSEY,NJ,US SENATE,statewide,"HARRISON A. WILLIAMS, JR.",DEMOCRAT,FALSE,1681140,2771390,0.60660535
1976,NEW JERSEY,NJ,US SENATE,statewide,BERNARDO S. DOGANIERO,SOCIALIST LABOR,FALSE,9185,2771390,0.003314221
1976,NEW JERSEY,NJ,US SENATE,statewide,DAVID F. NORCROSS,REPUBLICAN,FALSE,1054508,2771390,0.380497873
1976,NEW MEXICO,NM,US SENATE,statewide,ERNESTO B. BORUNDA,LA RAZA UNIDA,FALSE,1087,413056,0.002631604
1976,NEW MEXICO,NM,US SENATE,statewide,JOSEPH M. MONTOYA,DEMOCRAT,FALSE,176382,413056,0.42701716
1976,NEW MEXICO,NM,US SENATE,statewide,"MALCOLM ""MATT"" DILLON",AMERICAN,FALSE,906,413056,0.002193407
1976,NEW MEXICO,NM,US SENATE,statewide,"HARRISON ""JACK"" SCHMITT",REPUBLICAN,FALSE,234681,413056,0.568157828
1976,NEW YORK,NY,US SENATE,statewide,MARCIA GALLO,SOCIALIST WORKERS,FALSE,16350,6666875,0.002452423
1976,NEW YORK,NY,US SENATE,statewide,DANIEL PATRICK MOYNIHAN,LIBERAL,FALSE,184083,6666875,0.027611587
1976,NEW YORK,NY,US SENATE,statewide,JAMES L. BUCKLEY,CONSERVATIVE,FALSE,311494,6666875,0.04672264
1976,NEW YORK,NY,US SENATE,statewide,ELIJAH C. BOYD,LABOR,FALSE,6716,6666875,0.001007369
1976,NEW YORK,NY,US SENATE,statewide,HERBERT APTHEKER,COMMUNIST,FALSE,25141,6666875,0.003771032
1976,NEW YORK,NY,US SENATE,statewide,MARTIN E. NIXON,LIBERTARIAN,FALSE,10943,6666875,0.001641399
1976,NEW YORK,NY,US SENATE,statewide,OTHER,,FALSE,348498,6666875,0.052273066
1976,NEW YORK,NY,US SENATE,statewide,JAMES L. BUCKLEY,REPUBLICAN,FALSE,2525139,6666875,0.378759014
1976,NEW YORK,NY,US SENATE,statewide,DANIEL PATRICK MOYNIHAN,DEMOCRAT,FALSE,3238511,6666875,0.48576147
1976,NORTH DAKOTA,ND,US SENATE,statewide,ROBERT STROUP,REPUBLICAN,FALSE,103466,283062,0.365524161
1976,NORTH DAKOTA,ND,US SENATE,statewide,QUENTIN N. BURDICK,DEMOCRAT,FALSE,175772,283062,0.620966431
1976,NORTH DAKOTA,ND,US SENATE,statewide,CLARENCE HAGGARD,AMERICAN,FALSE,3824,283062,0.013509408
1976,OHIO,OH,US SENATE,statewide,EMMA LILA FUNDABURK,INDEPENDENT,FALSE,33285,3920613,0.008489744
1976,OHIO,OH,US SENATE,statewide,HOWARD M. METZENBAUM,DEMOCRAT,FALSE,1941113,3920613,0.495104465
1976,OHIO,OH,US SENATE,statewide,"ROBERT TAFT, JR.",REPUBLICAN,FALSE,1823774,3920613,0.465175726
1976,OHIO,OH,US SENATE,statewide,MELISA SINGLER,SOCIALIST WORKERS,FALSE,31805,3920613,0.008112252
1976,OHIO,OH,US SENATE,statewide,DONALD E. BABCOCK,AMERICAN,FALSE,36979,3920613,0.009431943
